"pathway","SYMBOL","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","KEGG_N_GLYCAN_BIOSYNTHESIS","DOLPP1","ENSMUSG00000026856",230.687931109732,0.246267760834756,0.155180152343434,1.58697975943298,0.112517228886723,0.259114954919164
"2","KEGG_N_GLYCAN_BIOSYNTHESIS","RPN1","ENSMUSG00000030062",3013.90132879768,-0.222158448358845,0.168775226230548,-1.31629773705873,0.188074130102381,0.370605696954527
"3","KEGG_N_GLYCAN_BIOSYNTHESIS","ALG14","ENSMUSG00000039887",359.899348242031,-0.581887488325826,0.129836850362014,-4.48168210106293,7.40570027936084e-06,9.76597167746365e-05
"4","KEGG_N_GLYCAN_BIOSYNTHESIS","MAN1B1","ENSMUSG00000036646",1908.9831205548,0.0806576922032459,0.0860191945935511,0.937670860374375,0.348413583308809,0.549304854203946
"5","KEGG_N_GLYCAN_BIOSYNTHESIS","ALG3","ENSMUSG00000033809",104.253386887116,0.236876395564013,0.19085206294401,1.24115187391768,0.21454964950561,0.403962874903388
"6","KEGG_N_GLYCAN_BIOSYNTHESIS","B4GALT1","ENSMUSG00000028413",3731.31756230073,0.259835319626861,0.0833968635527704,3.1156485814655,0.0018354085774442,0.0104994522251524
"7","KEGG_N_GLYCAN_BIOSYNTHESIS","MGAT5","ENSMUSG00000036155",1149.28898835398,-0.236236693262384,0.188906986920924,-1.25054502807391,0.21110051739091,0.39984933749336
"8","KEGG_N_GLYCAN_BIOSYNTHESIS","RPN2","ENSMUSG00000027642",3935.92642540502,-0.119387840970398,0.118239298240553,-1.00971371402686,0.312632470110666,0.512435363144327
"9","KEGG_N_GLYCAN_BIOSYNTHESIS","STT3A","ENSMUSG00000032116",2488.88329509249,-0.146532345991481,0.12136378621312,-1.20738113537562,0.227285397158688,0.419264916187947
"10","KEGG_N_GLYCAN_BIOSYNTHESIS","MGAT3","ENSMUSG00000042428",209.769817826701,-1.38646370058887,0.213922589350013,-6.48114677744664,9.10280628518121e-11,4.58492811207993e-09
"11","KEGG_N_GLYCAN_BIOSYNTHESIS","DAD1","ENSMUSG00000022174",1173.76744640233,-0.0488809659618874,0.150711969771427,-0.324333667962944,0.745685432780782,0.861163040459369
"12","KEGG_N_GLYCAN_BIOSYNTHESIS","MGAT2","ENSMUSG00000043998",1243.9574582416,0.161690905935644,0.0895409873631564,1.80577532923403,0.0709534405661659,0.185543802900138
"13","KEGG_N_GLYCAN_BIOSYNTHESIS","ALG12","ENSMUSG00000035845",198.291517863386,0.203791896654586,0.125794596697239,1.62003696506194,0.105224336601815,0.246678144529923
"14","KEGG_N_GLYCAN_BIOSYNTHESIS","TUSC3","ENSMUSG00000039530",623.382750093453,-0.200913973335867,0.15990956824201,-1.25642246142395,0.208962842194121,0.397408028373225
"15","KEGG_N_GLYCAN_BIOSYNTHESIS","MAN1C1","ENSMUSG00000037306",958.155762543022,-0.173605414380391,0.167980196131435,-1.03348738945724,0.301375868956175,0.500902460347201
"16","KEGG_N_GLYCAN_BIOSYNTHESIS","DPM2","ENSMUSG00000026810",428.594932163063,-0.123963983534469,0.14605684114415,-0.848737947249755,0.396027125726495,0.592892284571398
"17","KEGG_N_GLYCAN_BIOSYNTHESIS","GANAB","ENSMUSG00000071650",3678.97048363953,-0.0138319110871989,0.0646643452466379,-0.213903211026761,0.830622536150309,0.910418024204662
"18","KEGG_N_GLYCAN_BIOSYNTHESIS","MGAT4A","ENSMUSG00000026110",893.63679844167,0.0400296836073118,0.101546886605023,0.394199024171085,0.693434106086141,0.82703480940138
"19","KEGG_N_GLYCAN_BIOSYNTHESIS","STT3B","ENSMUSG00000032437",2990.54410744376,0.210859388005955,0.0750823636848494,2.80837439922664,0.00497923012453412,0.0234762742698069
"20","KEGG_N_GLYCAN_BIOSYNTHESIS","MAN1A2","ENSMUSG00000008763",1908.20343769067,-0.0197588247445131,0.108097698134658,-0.182786729833039,0.854965361250439,0.923720239030631
"21","KEGG_N_GLYCAN_BIOSYNTHESIS","ALG11","ENSMUSG00000063362",226.178045755266,-0.000490879009146603,0.139227686696219,-0.0035257284006855,0.99718688157171,0.997960081964497
"22","KEGG_N_GLYCAN_BIOSYNTHESIS","ALG8","ENSMUSG00000035704",127.489018868484,0.120798085596708,0.19462498935869,0.620670993970251,0.534816117942663,0.713283883468996
"23","KEGG_N_GLYCAN_BIOSYNTHESIS","ALG2","ENSMUSG00000039740",336.852469089929,0.0453575285469407,0.135991311698584,0.333532546898826,0.738732325640002,0.856294466607695
"24","KEGG_N_GLYCAN_BIOSYNTHESIS","DPAGT1","ENSMUSG00000032123",421.310310686848,-0.146101553995339,0.122109633236116,-1.19647852608672,0.231509873606275,0.424328605648637
"25","KEGG_N_GLYCAN_BIOSYNTHESIS","DPM3","ENSMUSG00000042737",235.39243244852,-0.219494892238739,0.246276097206632,-0.891255362287867,0.372792189861809,0.572807404228886
"26","KEGG_N_GLYCAN_BIOSYNTHESIS","DDOST","ENSMUSG00000028757",2610.98378815541,-0.218613032691504,0.133324596608459,-1.63970518758452,0.101066479811535,0.239594264790608
"27","KEGG_N_GLYCAN_BIOSYNTHESIS","MGAT4B","ENSMUSG00000036620",1020.72407333961,-0.131437564620273,0.196730640570495,-0.668109269807287,0.504063845082165,0.68727204970235
"28","KEGG_N_GLYCAN_BIOSYNTHESIS","ALG6","ENSMUSG00000073792",47.9568856586925,-0.266775615067954,0.32123097926046,-0.830479101617554,0.406267958750165,0.602026378885596
